lemma,freq
nowy,29025
jeden,27988
pierwszy,23324
polski,22239
inny,20243
dobry,15932
sam,15386
kolejny,15340
cały,14426
jaki,14302
duży,14034
wielki,13824
drugi,13817
wszystek,12972
ostatni,12816
wysoki,10243
ważny,9565
rosyjski,7699
europejski,7514
młody,6582
główny,6330
mały,6008
bliski,5992
różny,5949
były,5897
żaden,5731
trzeci,5612
związany,5520
stary,5305
miejski,5028
własny,4783
publiczny,4778
narodowy,4762
pewny,4653
krajowy,4593
ukraiński,4497
obecny,4336
wyborczy,4302
prosty,4216
długi,4155
społeczny,4080
znany,3964
daleki,3958
trudny,3927
pełny,3897
wojskowy,3833
biały,3783
finansowy,3680
prasowy,3655
amerykański,3629
piękny,3604
lokalny,3602
polityczny,3562
ogromny,3554
niski,3521
oryginalny,3489
zielony,3463
śląski,3436
społecznościowy,3264
możliwy,3243
popularny,3234
specjalny,3230
poważny,3230
drogowy,3204
silny,3176
poprzedni,3134
wspólny,3112
państwowy,3096
dodatkowy,3088
zły,3077
międzynarodowy,3073
karny,3016
niemiecki,3011
ubiegły,2889
ciekawy,2861
odpowiedni,2842
wolny,2829
sportowy,2817
światowy,2812
czerwony,2775
szybki,2709
podstawowy,2700
kluczowy,2693
prawdziwy,2623
dostępny,2595
wyjątkowy,2574
zachodni,2556
obywatelski,2503
podobny,2502
wojewódzki,2443
zagraniczny,2406
południowy,2367
medyczny,2363
jedyny,2358
generalny,2346
przyszły,2330
domowy,2324
rodzinny,2324
gotowy,2321
zawodowy,2285
północny,2251
prezydencki,2219
średni,2195
dawny,2177
krótki,2130
tegoroczny,2118
warszawski,2101
niebezpieczny,2091
prawny,2088
olimpijski,2048
istotny,2021
prywatny,2015
ciężki,2006
pozostały,2001
gospodarczy,1993
wschodni,1962
czarny,1952
czwarty,1935
elektryczny,1934
pomorski,1929
wczesny,1924
tragiczny,1911
centralny,1859
oficjalny,1845
internetowy,1818
potrzebny,1818
ranny,1777
wodny,1756
bezpieczny,1753
liczny,1679
łódzki,1673
powiatowy,1667
śledczy,1656
handlowy,1655
nowoczesny,1632
stały,1629
kolejowy,1622
szkolny,1610
niewielki,1597
zdrowotny,1586
wewnętrzny,1564
podlaski,1558
zdrowy,1550
brytyjski,1544
regionalny,1535
święty,1525
wszelki,1525
złoty,1516
aktywny,1506
szczególny,1506
dany,1503
rządowy,1501
krakowski,1496
naturalny,1487
osobowy,1486
szeroki,1477
filmowy,1477
powietrzny,1462
słaby,1458
idealny,1448
unijny,1447
spory,1447
konkretny,1442
ratunkowy,1441
zimowy,1432
tani,1427
otwarty,1426
jasny,1423
intensywny,1418
