lemma,freq
i,3928
że,957
a,758
lub,552
ale,505
oraz,413
aby,363
jeśli,272
to,238
bo,189
jednak,178
czy,146
by,146
jako,125
jak,93
tylko,80
niż,76
czyli,72
ponieważ,72
żeby,70
ani,67
albo,65
jeżeli,65
zarówno,61
co,47
choć,39
lecz,36
zatem,31
iż,30
gdyż,28
zanim,24
gdyby,24
aż,23
bądź,22
chociaż,21
skoro,16
im,13
zamiast,12
tudzież,11
dopóki,9
póki,6
jakby,5
toteż,4
ażeby,3
niby,3
nim,3
inaczej,3
byle,2
ni,2
aniżeli,2
aczkolwiek,2
jeśliby,1
iżby,1
dopóty,1
kiedy,1
albowiem,1
