lemma,freq
wiele,268
dwa,137
trzy,52
dużo,37
oba,31
tyle,29
cztery,23
pół,15
dziesięć,11
trochę,11
pięć,10
mało,8
osiem,6
siedem,5
sześć,5
dziewięć,4
obydwa,4
dwadzieścia,2
sto,1
osiemdziesiąt,1
trzydzieści,1
dwanaście,1
trzysta,1
czterysta,1
półtora,1
czterdzieści,1
