lemma,freq
e,50
o,20
oj,6
mniam,5
a,5
hej,4
naturalnie,3
ach,3
wow,3
uff,2
hmm,2
aj,2
hurra,1
no,1
jejku,1
fuj,1
nieprawdaż,1
och,1
kurwa,1
na,1
